"Costeo","Nombre","Cliente","Estado","Nombre del Comercial","Margen Ponderado","Creado en","Acciones","Id."
"COS-0012755","ACCESORIOS YUNEX MARZO 2026","Yunex","Generada Cotización","Xiomara Aranda Perea",20.0,"10/03/2026 7:08","Duplicar Costeo","81438821"
"COS-0012754","Samsung 2026 (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",27.97,"10/03/2026 6:40","Duplicar Costeo","81434302"
"COS-0012753","Chaquetas Samsung (PA)","Molt Panamá (PA)","Creado","Simón Román",33.33,"10/03/2026 6:37","Solicitar Revisión / Aprobado","81433874"
"COS-0012752","Chaquetas Samsung (PA)","Molt Panamá (PA)","Creado","Simón Román",33.33,"10/03/2026 6:33","Solicitar Revisión / Aprobado","81432962"
"COS-0012751","Polos - Ensa (PA)","Molt Panamá (PA)","Creado","Simón Román",15.97,"10/03/2026 5:55","Solicitar Revisión / Aprobado","81425525"
"COS-0012750","Muestras - Ensa 2026 (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",17.52,"10/03/2026 5:54","Duplicar Costeo","81425452"
"COS-0012749","Dotación Operativa Aecsa Marzo 2026","AECSA","Creado","Miguel Gutierrez",17.4,"09/03/2026 19:29","Solicitar Revisión / Aprobado","81406176"
"COS-0012748","PRENDAS GEVERNOVA ENERO 2026","MAXIALIMENTOS","Generada Cotización","Miguel Gutierrez",28.12,"09/03/2026 19:01","Duplicar Costeo","81405877"
"COS-0012747","Dotación Operativa Servilima Febrero 2026","SERVILIMA S A S","Generada Cotización","Miguel Gutierrez",12.78,"09/03/2026 18:28","Duplicar Costeo","81405600"
"COS-0012746","PRENDAS  ROLDA MARZO 2026","MAXIALIMENTOS","Generada Cotización","Xiomara Aranda Perea",17.03,"09/03/2026 15:48","Duplicar Costeo","81398734"
"COS-0012745","DOTACION OPERATIVA YUNEX MARZO 2026","Yunex","Creado","Xiomara Aranda Perea",16.86,"09/03/2026 15:43","Solicitar Revisión / Aprobado","81398253"
"COS-0012744","Dotación A&B El  Viajero  Marzo 2026","EL VIAJERO HOSTELS SAS","Generada Cotización","Xiomara Aranda Perea",21.88,"09/03/2026 14:55","Duplicar Costeo","81396377"
"COS-0012743","MUESTRAS  EMI  MARZO  2026","Grupo EMI","Generada Cotización","Xiomara Aranda Perea",20.0,"09/03/2026 13:55","Duplicar Costeo","81393342"
"COS-0012742","PEDIDO TIENDA BANREP 2026","BANCO DE LA REPUBLICA - NIT 860.005.216-7","Generada Cotización","Frank Sanchez",46.88,"09/03/2026 12:33","Duplicar Costeo","81390704"
"COS-0012741","JEANS  CASA LIMPIA  MARZO 2026","MAXIALIMENTOS","Creado","Santiago Barriga",18.7,"09/03/2026 10:57","Solicitar Revisión / Aprobado","81386739"
"COS-0012740","JEANS  CASA LIMPIA  MARZO 2026","MAXIALIMENTOS","Creado","Santiago Barriga",18.7,"09/03/2026 10:52","Solicitar Revisión / Aprobado","81386464"
"COS-0012739","costeo madre","Masser SAS - Terpel","Creado","Santiago Barriga",17.49,"09/03/2026 10:48","Solicitar Revisión / Aprobado","81386114"
"COS-0012739","costeo madre","Masser SAS - Terpel","Generada Cotización","Santiago Barriga",20.0,"09/03/2026 10:43","Duplicar Costeo","81385611"
"COS-0012738","PROYECTO PRENDAS MOLT PANAMA 2026","Molt Panamá (PA)","Creado","Simón Román",17.15,"08/03/2026 21:41","Solicitar Revisión / Aprobado","81340872"
"COS-0012737","Uniformes Rana Dorada (PA)","Molt Panamá (PA)","Creado","Simón Román",20.0,"08/03/2026 21:16","Solicitar Revisión / Aprobado","81340842"
"COS-0012736","LICITACION RIO PAILA CASTILLA FEBRERO 2026","Rio Paila Castilla","Generada Cotización","Miguel Gutierrez",11.94,"08/03/2026 9:00","Duplicar Costeo","81336029"
"COS-0012735","Dotacion 2026","AMERICAN LOGISTIC","Generada Cotización","Miguel Gutierrez",20.0,"08/03/2026 8:38","Duplicar Costeo","81334151"
"COS-0012734","MUESTRAS  JUNGHEIRNICH MARZO 2026","MAXIALIMENTOS","Generada Cotización","Xiomara Aranda Perea",25.03,"06/03/2026 15:50","Duplicar Costeo","81274136"
"COS-0012733","DOTACION  RIO GRANDE MARZO  2026","Distribuciones Rio Grande","Generada Cotización","Xiomara Aranda Perea",23.08,"06/03/2026 15:48","Duplicar Costeo","81273969"
"COS-0012732","Camisas Megapolis (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",21.88,"06/03/2026 14:06","Duplicar Costeo","81270508"
"COS-0012731","Licitación WOM Camisetas  Marzo  2026","WOM","Generada Cotización","Xiomara Aranda Perea",19.78,"06/03/2026 11:47","Duplicar Costeo","81266123"
"COS-0012730","Muestras camisas Pedro Mandinga (PA)","MAXIALIMENTOS","Generada Cotización","Simón Román",25.93,"06/03/2026 10:20","Duplicar Costeo","81261603"
"COS-0012729","CHALECO SUBRED SUR","SECOP II","Generada Cotización","Angela Jaramillo",25.93,"06/03/2026 10:11","Duplicar Costeo","81261390"
"COS-0012728","JEANS  CASA LIMPIA  MARZO 2026","MAXIALIMENTOS","Generada Cotización","Xiomara Aranda Perea",18.7,"06/03/2026 10:05","Duplicar Costeo","81261082"
"COS-0012727","Camisas Pedro Mandinga (PA)","MAXIALIMENTOS","Generada Cotización","Miguel Gutierrez",25.93,"06/03/2026 9:05","Duplicar Costeo","81258141"
"COS-0012726","CAMISA GUAYABERA BLANCA","G4S","Generada Cotización","Pilar Gómez",20.0,"06/03/2026 1:49","Duplicar Costeo","81230310"
"COS-0012725","ACTALIZACION COSTOS MINISO NACIONAL FEBRERO 2026","MINISO","Generada Cotización","Miguel Gutierrez",24.37,"05/03/2026 22:17","Duplicar Costeo","81220368"
"COS-0012725","ACTALIZACION COSTOS MINISO BOGOTA FEBRERO 2026","MINISO","Generada Cotización","Miguel Gutierrez",24.32,"05/03/2026 22:17","Duplicar Costeo","81220348"
"COS-0012724","DOTACION  OPERATIVA  EAFIT FEBRERO 2026","EAFIT","Creado","Miguel Gutierrez",16.67,"05/03/2026 22:11","Solicitar Revisión / Aprobado","81220110"
"COS-0012723","DOTACION  OPERATIVA  EAFIT FEBRERO 2026","EAFIT","Generada Cotización","Miguel Gutierrez",16.67,"05/03/2026 22:10","Duplicar Costeo","81220063"
"COS-0012722","DOTACION  OPERATIVA  EAFIT FEBRERO 2026","EAFIT","Generada Cotización","Miguel Gutierrez",16.67,"05/03/2026 22:09","Duplicar Costeo","81220022"
"COS-0012721","Canguros","ALPINA","Generada Cotización","Miguel Gutierrez",13.04,"05/03/2026 21:44","Duplicar Costeo","81219205"
"COS-0012720","Fútbol Rana Dorada (PA)","Molt Panamá (PA)","Generada Cotización","Simón Román",22.48,"05/03/2026 18:55","Duplicar Costeo","81218455"
"COS-0012719","CHALECO SUBRED SUR","SECOP II","Generada Cotización","Angela Jaramillo",25.93,"05/03/2026 16:26","Duplicar Costeo","81211632"
"COS-0012718","CONJUNTO FISIOTERAPIA VERDE","KERALTY","Generada Cotización","Pilar Gómez",20.0,"05/03/2026 14:52","Duplicar Costeo","81208350"
"COS-0012717","DOTACION   ADMINISTRATIVA POSITIVA MARZO  2026","MAXIALIMENTOS","Generada Cotización","Xiomara Aranda Perea",20.0,"05/03/2026 12:44","Duplicar Costeo","81201887"
